operatorName,wellCount
Pioneer Natural Resources,314
Devon Energy Production Company L. P.,206
"EOG Resources, Inc.",169
Energen Resources Corporation,163
SandRidge Energy,151
Anadarko Petroleum Corporation,139
"Linn Energy, LLC",131
COG Operating LLC,131
ConocoPhillips Company/Burlington Resources,126
Apache Corporation,115
Occidental Oil and Gas,113
XTO Energy/ExxonMobil,90
BHP Billiton Petroleum,87
Endeavor Energy Resources,74
Marathon Oil,59
J CLEO THOMPSON,58
Chevron USA Inc.,57
"CrownQuest Operating, LLC",51
"Laredo Petroleum, Inc.",51
Murphy Exploration and Production USA,45
Rosetta Resources,42
"Parsley Energy Operations, LLC",42
Athlon Energy Operating LLC,38
"FIML Natural Resources, LLC",35
"Fasken Oil and Ranch, Ltd.",33
"Holmes Exploration, LLC",33
Whiting Petroleum,32
SM Energy,32
"Aztec Drilling & Operating, LLC",29
Plains Exploration & Production Company,28
Henry Resources LLC,26
"EnerVest, Ltd.",22
"RSP Permian, LLC",22
Approach Resources,21
COBRA OIL & GAS CORPORATION,21
"Price Operating, LLC",20
"Carrizo Oil & Gas, Inc.",20
"Reliance Energy, Inc",19
Summit Petroleum LLC,17
Newfield Exploration,15
"Bluestem Energy Holdings, LLC",15
"Escondido Resources II, LLC",15
Parallel Petroleum LLC,14
MEWBOURNE OIL COMPANY,14
Cimarex Energy Co.,13
"Juno Operating Company II, LLC",13
Sanchez Oil & Gas Corporation,12
Diamondback E&P LLC,12
Hunt Oil Company,11
"BC Operating, Inc.",11
Unit Petroleum,11
Samson,10
Matador Production Company,10
RKI Exploration & Production,10
Comstock Oil & Gas,10
"Walsh & Watts, Inc.",10
Legacy Reserves Operating LP,9
"Burk Royalty Co., LTD.",9
Interstate Explorations LLC,9
"Jilpetco, Inc.",9
"Atlas Energy, L.P.",9
Talisman Energy USA Inc.,9
Strat Land Exploration Co,9
Penn Virginia Oil & Gas Corporation,9
"Nadel and Gussman Permian, LLC",9
"Jetta Operating Company, Inc",9
Resolute Natural Resources,8
Sanguine Gas Exploration,8
"Treadstone Energy Partners, LLC",8
"Goodrich Petroleum Company, LLC",8
Steller Energy & Investment Corp,8
BP America Production Company,7
Delta Oil & Gas Ltd.,7
Callon Petroleum Operating Company,7
"W&T Offshore, Inc.",7
Tecpetrol Operating LLC,7
HighMount Exploration & Production,7
"Newark E&P Operating, LLC",7
LCS Production Company,7
"Walsh Petroleum, Inc.",6
"BlackBrush O & G, Inc.",6
Range Resources Corporation,6
Magnum Hunter Resources Corp,6
Mid-States Operating Company,6
"Piedra Operating, LLC",6
