pKey,JobStartDate,JobEndDate,APINumber,StateNumber,CountyNumber,OperatorName,WellName,Latitude,Longitude,Projection,TVD,TotalBaseWaterVolume,TotalBaseNonWaterVolume,StateName,CountyName,FFVersion,FederalWell,IndianWell,Source,DTMOD
243fecf0-b744-4ccb-8208-f5e87209e733,9/21/2022 6:00,10/14/2022 6:00,5.12351E+12,5,123,Nickel Road Operating LLC,Elder 8Y-HNC,40.587121,-104.638663,NAD83,7129,20005037,0,Colorado,Weld,3,FALSE,FALSE,,
b95b2699-6bac-42b9-870a-f918c3db653e,9/21/2022 6:00,10/14/2022 6:00,5.12351E+12,5,123,Nickel Road Operating LLC,Elder 7Y-HNB,40.587039,-104.638664,NAD83,7083,20118504,0,Colorado,Weld,3,FALSE,FALSE,,
0af41a94-d2bc-4753-864e-2c7bf6c2029f,9/21/2022 6:00,10/14/2022 6:00,5.12351E+12,5,123,Nickel Road Operating LLC,Elder 8Y-HNA,40.587079,-104.638663,NAD83,6976,20013640,0,Colorado,Weld,3,FALSE,FALSE,,
1a0a6aac-fdc7-41d9-afc3-b1bcce4e70bb,10/3/2022 6:00,10/14/2022 6:00,3.3061E+13,33,61,Whiting Petroleum,LITTLEFIELD  11 21H,48.0649,-102.3949,NAD27,10281.36,9226035,0,North Dakota,Mountrail,3,FALSE,FALSE,,
a5060adc-7155-4828-ad11-f35ff5b91c5d,9/18/2022 6:00,10/14/2022 6:00,4.23014E+13,42,301,MEWBOURNE OIL COMPANY,GOODNIGHT 10 11 B B101MD,31.930889,-103.346518,NAD27,10330,21043218,0,Texas,Loving,3,FALSE,FALSE,,
ab423477-bca1-4b30-a882-e089b9b59399,10/9/2022 17:47,10/14/2022 14:01,3.50513E+13,35,51,"Camino Natural Resources, LLC",Wheelock 1106 33-1MH,35.37808775,-97.84589321,NAD27,9598,11665878,0,Oklahoma,Grady,3,FALSE,FALSE,,
721df1ea-b501-4ffe-ab50-fdbc16c5fac8,10/6/2022 13:48,10/14/2022 16:12,3.00155E+13,30,15,Marathon Oil ,Honey Mustard 22 WXY Fed Com 8H,32.19686671,-104.0824807,NAD27,9544,18150930,0,New Mexico,Eddy,3,FALSE,FALSE,,
8f57b9f4-dbc2-43d8-b1f3-4f9960cf7301,10/6/2022 17:32,10/14/2022 19:23,3.00155E+13,30,15,Marathon Oil ,Honey Mustard 22 WXY Fed Com 6H,32.19685509,-104.0766929,NAD27,9547,18276174,0,New Mexico,Eddy,3,FALSE,FALSE,,
54aaaa9f-63e8-40e3-8124-61bf4090f494,10/14/2022 10:04,10/14/2022 19:28,4.21034E+13,42,103,Slant Operating ,JB Tubb AC 1 504,31.494947,-102.595986,NAD83,5343,345626,23470,Texas,Crane,3,FALSE,FALSE,,
28d74e86-deaa-4c89-9b8a-77684a5e2677,8/30/2022 15:23,10/14/2022 21:00,4.22274E+13,42,227,SM Energy,Buttercup 2724LS,32.377062,-101.414521,NAD27,6866.209,45326400,0,Texas,Howard,3,FALSE,FALSE,,
